id,user,uid,version,changeset,timestamp
10127432,TheDutchMan13,1330847,11,49209938,2017-06-02T23:30:46Z
10127436,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:46Z
10127437,TheDutchMan13,1330847,3,49209938,2017-06-02T23:30:47Z
10127439,osmjwh,5084396,5,54041501,2017-11-24T06:17:52Z
10127442,osmjwh,5084396,5,53890951,2017-11-18T02:06:36Z
10127452,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:47Z
10127456,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:47Z
10127460,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:48Z
10127463,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:48Z
10127464,bburgon42,151079,5,59135587,2018-05-21T00:02:42Z
10127472,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:48Z
10127473,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:48Z
10127477,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:49Z
10127478,artem95vlasovets,9023101,13,67462073,2019-02-22T11:11:25Z
10127479,mvexel,8909,11,67476208,2019-02-22T18:40:20Z
10127480,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:49Z
10127485,osmjwh,5084396,9,64157206,2018-11-04T04:10:46Z
10127486,troddinrazor,7181677,9,54471537,2017-12-08T22:10:39Z
10127487,troddinrazor,7181677,7,54487776,2017-12-09T14:38:24Z
10127496,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:50Z
10127497,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:50Z
10127509,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:51Z
10127510,torapa,5446055,6,50610548,2017-07-27T07:32:48Z
10127517,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:52Z
10127520,osmjwh,5084396,12,62936193,2018-09-26T07:05:27Z
10127522,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:53Z
10127526,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:53Z
10127532,mvexel,8909,7,22241600,2014-05-09T22:51:59Z
10127538,TheDutchMan13,1330847,8,49209938,2017-06-02T23:30:54Z
10127544,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:55Z
10127550,mvexel,8909,8,22241600,2014-05-09T22:51:54Z
10127552,mvexel,8909,3,22241600,2014-05-09T22:51:54Z
10127558,jwolfski,9260934,5,66349894,2019-01-16T02:50:42Z
10127561,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:55Z
10127564,vvrddy,8369522,13,63788667,2018-10-23T09:49:11Z
10127565,EnglishDutchman,587890,19,61753101,2018-08-17T17:42:12Z
10127566,osmjwh,5084396,5,60364764,2018-07-03T05:02:05Z
10127571,Наташа Гончарик,6331459,21,68294672,2019-03-19T13:18:31Z
10127584,Modest7,6672825,7,54323101,2017-12-04T09:24:58Z
10127590,mvexel,8909,5,50329461,2017-07-16T16:08:45Z
10127604,TheDutchMan13,1330847,9,49209938,2017-06-02T23:30:57Z
10127606,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:57Z
10127611,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:57Z
10127614,swappa,8369524,9,70058893,2019-05-09T05:34:01Z
10127615,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:58Z
10127618,TheDutchMan13,1330847,10,49209938,2017-06-02T23:30:58Z
10127622,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:58Z
10127635,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:59Z
10127636,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:59Z
10127639,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:59Z
10127640,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:59Z
10127657,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:00Z
10127661,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:00Z
10127696,William Wait,8289562,7,63108714,2018-10-01T22:38:08Z
10127697,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:02Z
10127698,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:02Z
10127699,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:02Z
10127708,torapa,5446055,8,50608690,2017-07-27T06:21:07Z
10127710,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:03Z
10127711,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:03Z
10127719,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:04Z
10127721,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:04Z
10127726,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:05Z
10127743,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:05Z
10127747,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:06Z
10127749,tejajt,8512189,15,63422786,2018-10-11T14:45:02Z
10127753,TheDutchMan13,1330847,10,49209938,2017-06-02T23:31:06Z
10127755,userd433fc,9023098,9,68294586,2019-03-19T13:16:24Z
10127756,EnglishDutchman,587890,11,62174740,2018-08-31T14:28:55Z
10127760,abhap,8369525,6,63762825,2018-10-22T15:06:52Z
10127762,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:07Z
10127769,balrog-kun,20587,2,4308008,2010-04-02T22:39:56Z
10127774,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:07Z
10127777,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:07Z
10127779,andygol,94578,5,67421865,2019-02-21T08:58:20Z
10127780,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:08Z
10127782,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:08Z
10127787,RichRico,2219338,5,29545282,2015-03-17T16:42:35Z
10127788,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:08Z
10127791,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:08Z
10127793,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:08Z
10127794,timawesomeness,6228256,6,49878400,2017-06-28T04:50:03Z
10127795,timawesomeness,6228256,6,49878400,2017-06-28T04:50:02Z
10127796,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:09Z
10127810,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:10Z
10127814,ridixcr,2508151,10,45407669,2017-01-23T18:40:00Z
10127819,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:10Z
